accord,ー致
deficit,赤字・不足
deliberate,故意の
depart,出発する
diameter,直径
dim,薄暗い
dissolve,～を溶かす
drastic,徹底的な
dye,～を染める
embody,～を具現する
enclose,～を同封する
enrich,～を豊かにする
envy,～をうらやむ
erase,～を消す
erosion,浸食
erupt,噴火する
evoke,～をよびおこす
fertile,肥沃な
fierce,猛烈な
flame,炎
flush,～を紅潮させる
greed,強欲
halt,～を止める
headline,見出し
hollow,空洞の
hostile,敵意のある
ideology,イデオロギー・思想傾向
immense,膨大な
invade,～を侵略する
jealous,嫉妬深い
laundry,洗濯(物)
leak,漏れる
legacy,遺産
liver,肝臓
manuscript,原稿
merchandise,商品
misery,悲惨
moisture,水分
navegate,航行する
neat,きちんとした
orphan,孤児
overtake,～を追い抜く
partial,部分的な
peculiar,特有の
penetrate,～の内部に入る
peninsla,半島
plague,疫病
pray,祈る
pregnant,妊娠した
prose,散文
rage,激怒
resign,辞任する
retrieve,～を回収する
revenge,復讐する
revenue,歳入
ripe,熟した
rumor,うわさ
scratch,～をひっかく
script,台本
sew,～を縫う
sin,(宗教・道徳上の)罪
sparkle,輝く
spontaneous,自然発生的な
startle,～をびっくりさせる
steer,操縦する
strive,努力する
suiside,自殺
superficial,表面的な
supreme,最高の
surpass,～を上回る
suspend,～を停職処分にする
taboo,禁忌・タブー
tolerate,～を許容する・我慢する
trail,跡
transparent,透明な
undergraduate,学部学生
undertake,～を引き受ける
vacuum,真空
verse,韻文
voluntary,自発的な
warfare,戦争
warrior,戦士
weave,～を織る
absurd,ばかげた、不合理な
antique,骨董の、古風な
applause,拍手(喝采)
aspire,熱望する
betray,うっかり表す、裏切る
bounce,跳ねる
breakdown,崩壊
bud,芽、つぼみ
bullet,銃弾
choke,むせさせる、窒息させる
chuckle,くすくす笑う
clumsy,不器用な
cluster,集団
coward,臆病者
curse,呪い
decisive,決定的な
despize,軽蔑する
diabetes,糖尿病
diligent,勤勉な
disabled,障害のある
dispose,処分する(～of)
disregard,無視する
dumb,ばかげた
earnest,まじめな、熱心な
emigrate,(他国へ)移住する
excel,秀でている
feat,偉業
fetch,持って来る、連れて来る
flap,ぱたぱたと動く、羽ばたく
frown,眉をひそめる
gear,器具、歯車
geometry,幾何学
gloomy,陰気な
glory,栄光
grief,深い悲しみ
hinder,妨げる
idle,(何もせずに)ぶらぶらしている
insert,挿入する
knot,結び目
limb,手足
loyal,忠実な
lure,誘惑する
marvelous,すばらしい、驚くべき
mercy,慈悲
misunderstand,誤解する
mock,ばかにする
murmur,ささやく
mutation,突然変異
mutter,つぶやく
nasty,不快な
naughty,いたずらな
obese,肥満した
obscure,人目につかない、不明瞭な
plunge,突っ込む、没頭する
predecessor,前任者
probe,宇宙探査用ロケット
psychiatrist,精神科医
punctual,時間を守る(形)
radiation,放射能、放射線
resume,再開する
reunion,再会(の集い)
rigid,厳しい
roam,歩き回る
roar,うなる、ほえる
rub,こする
seize,つかむ、奪い取る
sentiment,感情、感傷
shave,(顔、ひげ)をそる
sheer,純然たる、真の
shield,盾、防御物
shiver,震える
signature,署名
sole,唯一の
soothe,なだめる
soybean,大豆
splendid,すばらしい、立派な
staple,必需食品
stiff,硬直した
stray,はぐれる、迷う
stubborn,頑固な
swell,膨張する、腫れる
tablet,錠剤
tactics,戦術
tease,からかう
thermometer,温度計、体温計
thesis,論文
tidy,きちんとした
timid,臆病な
torture,拷問
tremble,震える、揺れ動く
triangle,三角形
uneasy,不安な
unify,統合する
upright,真っ直ぐな
vapor,蒸気
vegetation,植物
vertical,垂直の
vessel,船舶
withstand,耐える
wrinkle,しわ
abrupt,突然の
ache,痛む
acute,激しい
approximate,おおよその
arithmetic,計算
await,待つ
bankrupt,破産させる
bind,縛る
biography,伝記
breakthrough,大発見、飛躍的進歩
bulk,（the～）大半
cabinet,（the C-）内閣
carriage,車両
certificate,証明書
cherish,心に抱く
collision,衝突
compulsory,義務的な
congratulate,（人を）祝う
creep,忍び込む
crude,天然の、未精製の
damp,湿った
deed,行い
depict,描く
dictate,指図する
disguise,変装させる
dose,（薬の）服用量
dread,ひどく恐る
eminent,高名な
encyclopedia,百科事典
enlarge,拡大する
enroll,登録する、入会する
eternal,永遠の
execute,実行する
extinguish,（火、光などを）消す
faint,かすかな
fake,偽造する
feminine,女らしい
foresee,予知する
friction,不和
furnish,備付ける
fusion,融合
grind,（穀物などを）挽く
haste,急ぐこと
hatch,孵化させる
heir,相続人
humid,湿気のある
illuminate,照らす
inclined,～する傾向がある
indulge,ふける
infinite,無限の
intermediate,中級の
kneel,跪く
legislation,法律
liable,～しがちな
masculine,男らしい
masterpiece,傑作
means,手段
mend,修繕する
mercury,水銀
mischief,いたずら
mold,鋳型
monarchy,君主制
monopoly,独占（権）
notable,注目に値する
notorious,悪名高い
nourish,栄養を与える
odor,におい
omit,省く
pardon,許し
pilgrim,巡礼者
pill,錠剤
recite,暗唱する
reign,治世
rhyme,詩歌
rotten,腐った
savage,獰猛な
scope,範囲
signify,意味する
slap,（平手で）叩く
slaughter,虐殺
sore,痛い
sour,酸っぱい
spectacle,壮観
stain,汚す
static,静的な
stumble,つまずく
superfluous,余分な
surplus,余剰
surrender,屈する
swear,誓う
swift,素早い
tender,優しい
thirst,（のどの）渇き
trifle,些細なこと
undermine,徐々に蝕む
utmost,最大限の
vein,血管
vocational,職業の
ward,病棟
wither,しおれる
addict,(受身形で)凝る、中毒になる
advent,(the～)出現、到来
affluent,裕福な
agony,苦痛
ample,十分すぎるほどの、豊富な
anguish,苦悩
apathy,無感動
apparatus,器具一式
archaeology,考古学
aristocracy,(the～)貴族社会
ascend,上がる
assault,暴行する、攻撃する
astronomy,天文学
aviation,航空(学)
bless,恩恵を与える
bribe,賄賂
carve,彫る
cavity,虫歯(の穴)
coincide,同時に起こる、一致する
conceive,思いつく
congestion,混雑
conscience,良心
contemplate,熟考する、予想する
contempt,軽蔑
creed,(宗教上の)信条
cynical,冷笑的な
disclose,公表する
discreet,思慮分別のある
dismay,落胆
divert,(注意など)をそらす
dubious,疑わしい
eclipse,日食、月食
eloquent,雄弁な
erect,建てる、直立させる
evaporate,蒸発する
exclaim,叫ぶ
exile,亡命(者)、(国外)追放
expel,追放する
expire,期限が切れる
explicit,明白な
ferment,発酵させる
flaw,欠点
furious,激怒した、猛烈な
grim,(状況などが)暗い
gross,総計の
implicit,暗黙の
intrude,侵害[侵入]する
lament,嘆き悲しむ
literal,文字通りの
meditate,瞑想する
melancholy,憂鬱
merge,合併する、融合する
mourn,悼む
ornament,装飾(品)
pant,あえぐ
parasite,寄生虫
personnel,職員、人員
pessimistic,悲観的な
pirce,貫く、(穴)を開ける
pledge,誓う
ponder,熟考する
premium,保険料
prestige,名声
presume,推定する
proclaim,宣言する
questionnaire,アンケート
reckless,無謀な
render,(ある状態に)する
resent,憤慨する
riot,暴動
rotate,回転する、循環する
ruthless,無慈悲な
scorn,軽蔑(2)
senator,上院議員
singular,驚くべき、奇妙な
skeptical,懐疑的な(about)
slender,ほっそりした
soak,浸す
solemn,厳粛な
spacious,広々とした
spatial,空間の
specimen,標本
speculate,推測する
statesman,政治家
subscribe,予約購読する
suck,吸う
surge,殺到する
symmetry,(左右)対称
textile,織物、繊維(産業)
token,しるし
ultraviolet,紫外線の
vacant,空いている
vain,無駄な、うぬぼれた
velocity,速度
verge,(the～)瀬戸際
vigor,活力
wary,用心深い(of)
weary,疲れ果てた、うんざりした(of)
weird,異様な
wicked,邪悪な
abide,従う(by)
allege,主張する
analogy,類推、類似
anecdote,逸話
anonymous,匿名の
arbitrary,恣意的な
ascribe,原因を(..に)帰する(to)
attorney,弁護士
authentic,本物の
catastrophe,大災害
censorship,検閲
coerce,強要する
cohesion,結束
compatible,互換性のある
comply,従う(with)、応じる
conceit,うぬぼれ
condemn,非難する、(受身)有罪を宣告させる
contaminate,汚染する、堕落させる
corrupt,堕落させる
deficient,欠けている(in)
defy,反抗する
degrade,価値を下げる、降格する
delinquency,(青少年の)非行、犯罪
deteriorate,悪化する
diplomacy,外交(的手腕)
discern,理解する、識別する
divine,神の
dizzy,めまいがする、当惑した
doctrine,(政策上の)主義、教義
emancipate,解放する
embark,乗り出す(on)、乗船[搭乗]する
endow,授ける、寄贈する
entity,実体
extravagant,浪費する
fallacy,誤った考え
feudal,封建時代[制度]の
folklore,民話
heredity,遺伝、世襲
homogenous,均質の
hostage,人質
humiliate,自尊心を傷つける
hygiene,衛生(状態)
hypocrisy,偽善
imminent,差し迫った
impair,損なう
incessant,絶え間のない
infer,推論する
inflict,(害などを)負わせる
ingenious,独創的な
inherent,生来の
inspect,点検する
intelligible,理解できる
intervene,介入する(in)
intricate,複雑な
intrigue,興味を持たせる
juvenile,青少年の
lawsuit,(民事)訴訟
legitimate,合法的な
monetary,金銭的な、金融の
monotonous,単調な
mortal,致命的な
nuisance,厄介(なこと[人])
obsolete,廃れた
oppress,抑圧する
ordeal,厳しい試練
perpetual,ひっきりなしの
persecute,迫害する
plausible,もっともらしい
plead,嘆願する(with)
plight,窮状
preach,説教する
preliminary,予備の、準備の
preoccupation,没頭
prescribe,処方する
reconcile,一致させる(with)和解させる
reproach,非難する
restrain,制止する、規制する
retrospect,回想
revolt,反逆する(against)
rhetoric,修辞(法)
sanction,(～s)制裁
scrutiny,精査、監視
segment,部分
sober,しらふの
solitude,ひとりでいること
sovereign,君主
stall,露店、失速
subordinate,下位の(to)
summon,呼びつける
superstition,迷信
synthesis,合成
testify,証言する
testimony,証言、証拠
thrust,押し付ける
tyranny,暴政、専制国家
ubiquitous,至る所にある
unleash,(抑えていたものを)爆発させる
verdict,(陪審の)評決、評価
warrant,令状
zealous,熱心な
